Wall time,Step,Value
1651404579.3113678,30,0.0
1651404580.8793676,95,0.010526316240429878
1651404581.3423684,125,0.00800000037997961
1651404584.7763686,205,0.004878048785030842
1651404584.9323676,215,0.004651162773370743
1651404585.166368,230,0.0
1651404585.319368,240,0.0
1651404587.0093682,270,0.0
1651404587.2403681,285,0.0
1651404590.3283682,360,-0.0027777778450399637
1651404590.566368,375,-0.0026666666381061077
1651404592.110368,400,0.0
1651404592.7323678,440,0.0
1651404594.4773679,475,0.0
1651404596.314373,515,0.0020000000949949026
1651404596.5503688,530,0.0020000000949949026
1651404596.626368,535,0.0020000000949949026
1651404597.177368,570,0.0
1651404598.7763703,595,0.0
1651404599.4033682,635,0.0
1651404602.2173674,700,-0.0020000000949949026
1651404604.233368,755,0.0
1651404605.796368,780,0.0
1651404606.041368,795,0.0
1651404607.983382,840,0.0
1651404608.063368,845,0.0
1651404608.85237,895,0.0
1651404610.4703722,920,0.0020000000949949026
1651404610.630368,930,0.0020000000949949026
1651404610.7083678,935,0.0020000000949949026
1651404611.030368,955,0.0020000000949949026
1651404612.855368,995,0.0
1651404614.6973684,1035,0.0
1651404614.776368,1040,0.0
1651404615.7113676,1065,0.0
1651404617.6733677,1120,0.0
1651404618.1583676,1150,0.0020000000949949026
1651404619.714368,1175,0.0020000000949949026
1651404619.9603732,1190,0.0020000000949949026
1651404622.1383677,1250,0.0
1651404623.831368,1280,0.0
1651404624.238368,1305,0.0
1651404624.4803693,1320,0.0
1651404624.8043725,1340,0.0
1651404626.348368,1360,0.0
1651404626.5083678,1370,0.0
1651404629.7633722,1465,-0.0020000000949949026
1651404631.3783677,1490,0.0
1651404631.4603684,1495,0.0
1651404631.8703678,1520,0.0
1651404633.5463724,1545,0.0
1651404633.7113678,1555,0.0
1651404634.3683681,1595,0.0020000000949949026
1651404635.678368,1600,0.0020000000949949026
1651404636.2613678,1635,0.0020000000949949026
1651404636.5883687,1655,0.0020000000949949026
1651404638.539368,1700,0.006000000052154064
1651404640.4493725,1740,0.006000000052154064
1651404643.3413677,1820,0.006000000052154064
1651404643.6753676,1840,0.006000000052154064
1651404645.378368,1870,0.006000000052154064
1651404645.7143722,1890,0.00800000037997961
1651404645.8833725,1900,0.00800000037997961
1651404648.162368,1965,0.009999999776482582
1651404653.4513676,2110,0.009999999776482582
1651404654.6003723,2115,0.009999999776482582
1651404654.7713683,2125,0.009999999776482582
1651404655.3233676,2155,0.009999999776482582
1651404657.2813702,2200,0.009999999776482582
1651404657.4513676,2210,0.009999999776482582
1651404657.5353703,2215,0.009999999776482582
1651404657.789368,2230,0.009999999776482582
1651404659.5633678,2260,0.01600000075995922
1651404661.5383716,2305,0.01600000075995922
1651404661.7943678,2320,0.01600000075995922
1651404661.878368,2325,0.01600000075995922
1651404663.987372,2375,0.017999999225139618
1651404667.1863682,2460,0.01600000075995922
1651404667.361372,2470,0.01600000075995922
1651404669.6353679,2540,0.01600000075995922
1651404671.2533731,2565,0.017999999225139618
1651404671.4293675,2575,0.017999999225139618
1651404671.687368,2590,0.017999999225139618
1651404673.56437,2630,0.019999999552965164
1651404674.086368,2660,0.026000000536441803
1651404674.259368,2670,0.02800000086426735
1651404674.518368,2685,0.02800000086426735
1651404676.2673688,2715,0.024000000208616257
1651404676.6983678,2740,0.02199999988079071
1651404678.7783678,2790,0.02199999988079071
1651404680.8543699,2820,0.024000000208616257
1651404681.3853679,2850,0.026000000536441803
1651404681.7383676,2870,0.02800000086426735
1651404683.496368,2900,0.02800000086426735
1651404683.6723676,2910,0.02800000086426735
1651404683.759368,2915,0.02800000086426735
1651404683.934368,2925,0.029999999329447746
1651404684.110368,2935,0.03400000184774399
1651404684.198368,2940,0.035999998450279236
1651404685.8463678,2965,0.03799999877810478
1651404685.9333677,2970,0.03999999910593033
1651404687.9543707,3015,0.041999999433755875
1651404688.4843724,3045,0.03799999877810478
1651404688.660368,3055,0.03799999877810478
1651404690.3253677,3080,0.03999999910593033
1651404690.7673702,3105,0.041999999433755875
1651404690.9463723,3115,0.04399999976158142
1651404693.7283723,3175,0.026000000536441803
1651404695.439368,3210,0.024000000208616257
1651404695.530368,3215,0.024000000208616257
1651404695.710368,3225,0.01600000075995922
1651404695.891368,3235,0.01600000075995922
1651404695.9823728,3240,0.012000000104308128
1651404696.1653726,3250,0.012000000104308128
1651404698.3833733,3310,-0.019999999552965164
1651404698.6563694,3325,-0.02199999988079071
1651404700.2393699,3345,-0.03799999877810478
1651404700.5083678,3360,-0.04800000041723251
1651404700.7753677,3375,-0.04800000041723251
1651404702.253368,3395,-0.052000001072883606
1651404702.342368,3400,-0.0560000017285347
1651404702.70737,3420,-0.05400000140070915
1651404703.156368,3445,-0.07199999690055847
1651404703.2453685,3450,-0.06800000369548798
1651404705.9353673,3500,-0.0860000029206276
1651404707.4043725,3520,-0.0860000029206276
1651404707.680368,3535,-0.0860000029206276
1651404708.417369,3575,-0.07800000160932541
1651404709.9933681,3595,-0.07199999690055847
1651404710.2683687,3610,-0.07000000029802322
1651404710.358368,3615,-0.07000000029802322
1651404710.4483678,3620,-0.07000000029802322
1651404712.21237,3655,-0.07000000029802322
1651404712.7693682,3685,-0.04600000008940697
1651404712.9523678,3695,-0.04399999976158142
1651404713.0453677,3700,-0.04600000008940697
1651404714.667368,3720,-0.035999998450279236
1651404715.038368,3740,-0.02800000086426735
1651404715.3123722,3755,-0.017999999225139618
1651404715.4043725,3760,-0.012000000104308128
1651404715.4963696,3765,-0.012000000104308128
1651404717.019368,3785,0.0020000000949949026
1651404717.8433716,3830,0.024000000208616257
1651404719.9183671,3850,0.03799999877810478
1651404720.0363674,3855,0.03999999910593033
1651404720.130368,3860,0.04600000008940697
1651404720.31537,3870,0.04800000041723251
1651404720.4093711,3875,0.04600000008940697
1651404722.1053703,3905,0.0560000017285347
1651404722.4773679,3925,0.05999999865889549
1651404722.570368,3930,0.06599999964237213
1651404722.756368,3940,0.06400000303983688
1651404722.9423676,3950,0.06400000303983688
1651404723.2243679,3965,0.07400000095367432
1651404724.479368,3970,0.07599999755620956
1651404724.572368,3975,0.07599999755620956
1651404724.665368,3980,0.07999999821186066
1651404724.9483678,3995,0.07800000160932541
1651404725.332368,4015,0.07999999821186066
1651404727.020368,4040,0.08399999886751175
1651404727.1113677,4045,0.07999999821186066
1651404727.2033682,4050,0.07999999821186066
1651404727.7593706,4080,0.07999999821186066
1651404731.7483702,4165,0.07800000160932541
1651404732.1203682,4185,0.07000000029802322
1651404732.3063703,4195,0.07400000095367432
1651404733.2293677,4220,0.07800000160932541
1651404737.806368,4340,0.09200000017881393
1651404737.9973688,4350,0.09200000017881393
1651404739.6553679,4375,0.10599999874830246
1651404739.8453681,4385,0.10599999874830246
1651404740.222368,4405,0.1080000028014183
1651404740.4073682,4415,0.1120000034570694
1651404742.3843718,4455,0.11599999666213989
1651404744.0553677,4485,0.12200000137090683
1651404744.4353702,4505,0.12800000607967377
1651404745.094368,4540,0.14000000059604645
1651404746.9753673,4550,0.14000000059604645
1651404747.5663722,4580,0.13600000739097595
1651404747.758372,4590,0.13600000739097595
1651404748.0483682,4605,0.1340000033378601
1651404749.2303722,4610,0.1340000033378601
1651404749.425368,4620,0.13600000739097595
